assignee,Integration Name,Support Level,Provider,Auth Class,Auth Detail,auth params set,script inputs,params required for test,generated manifest,wrote code,validations passed,unit tests passed,param parity test passes,requires auth parity test,auth parity test passes,code reviewed,code merged
,Abnormal Security,partner,Abnormal Security,APIKey(api_key) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""}],""config"":""REQUIRED(APIKey)"",""params"":{""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Abnormal Security Event Collector,partner,Abnormal Security,Plain(token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""token""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""token"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Absolute,xsoar,Absolute Software,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2JWT)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2JWT detected in code but no explicit params""}",,,,,,,,,,,,
,abuse.ch SSL Blacklist Feed,xsoar,SANS Institute,Plain(credentials) — OPTIONAL(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""OPTIONAL(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AbuseIPDB,xsoar,AbuseDB,"APIKey(apikey) | Plain(credentials, hunting_credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""hunting_credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""hunting_credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Acalvio ShadowPlex,partner,Acalvio,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ACTI Indicator Feed,partner,Accenture,Plain(api_token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_token""}],""config"":""REQUIRED(Plain)"",""params"":{""api_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ACTI Indicator Query,partner,Accenture,Plain(api_token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_token""}],""config"":""REQUIRED(Plain)"",""params"":{""api_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ACTI Vulnerability Query,partner,Accenture,Plain(api_token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_token""}],""config"":""REQUIRED(Plain)"",""params"":{""api_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Active Directory Query v2,xsoar,Microsoft,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ActiveMQ,xsoar,Open Source,"Plain(client_cert, client_key, credentials) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""client_cert""},{""type"":""Plain"",""name"":""client_key""},{""type"":""Plain"",""name"":""credentials""}],""config"":""OPTIONAL(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""client_cert"":{""type"":""Plain"",""xsoar_type"":14,""required"":false},""client_key"":{""type"":""Plain"",""xsoar_type"":14,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AdminByRequest,xsoar,Admin By Request,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Agari Phishing Defense,partner,Fortra,"APIKey(apikey, apisecret) — REQUIRED(APIKey, APIKey)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""APIKey"",""name"":""apisecret""}],""config"":""REQUIRED(APIKey, APIKey) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true},""apisecret"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Aha,xsoar,Aha Labs Inc.,Plain(api_key) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""api_key""}],""config"":""REQUIRED(Plain)"",""params"":{""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Akamai WAF,xsoar,Akamai Technologies,"Plain(accessToken, clientSecret, clientToken, credentials_access_token, credentials_client_secret, credentials_client_token) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""accessToken""},{""type"":""Plain"",""name"":""clientSecret""},{""type"":""Plain"",""name"":""clientToken""},{""type"":""Plain"",""name"":""credentials_access_token""},{""type"":""Plain"",""name"":""credentials_client_secret""},{""type"":""Plain"",""name"":""credentials_client_token""}],""config"":""OPTIONAL(Plain)"",""params"":{""clientToken"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""accessToken"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""clientSecret"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""credentials_client_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""credentials_access_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""credentials_client_secret"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Akamai WAF SIEM,xsoar,Akamai Technologies,"Plain(accessToken, accesstoken_creds, clientSecret, clientToken, clientsecret_creds, clienttoken_creds) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""accessToken""},{""type"":""Plain"",""name"":""accesstoken_creds""},{""type"":""Plain"",""name"":""clientSecret""},{""type"":""Plain"",""name"":""clientToken""},{""type"":""Plain"",""name"":""clientsecret_creds""},{""type"":""Plain"",""name"":""clienttoken_creds""}],""config"":""OPTIONAL(Plain)"",""params"":{""clientToken"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""clienttoken_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""accessToken"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""accesstoken_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""clientSecret"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""clientsecret_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AlgoSec,xsoar,AlgoSec,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Alibaba Action Trail Event Collector,xsoar,Alibaba Group,Plain(access_key) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""access_key""}],""config"":""REQUIRED(Plain) + OPTIONAL(APIKey)"",""params"":{""access_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""APIKey detected in code but no explicit params""}",,,,,,,,,,,,
,AlienVault OTX TAXII Feed,xsoar,AT&T Cybersecurity,"APIKey(api_key) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AlienVault OTX v2,xsoar,AT&T Cybersecurity,"APIKey(api_token) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api_token""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""api_token"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AlienVault Reputation Feed,xsoar,AT&T Cybersecurity,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,AlienVault USM Anywhere,xsoar,AT&T Cybersecurity,"OAuth2ClientCreds(client_id, client_secret) | Plain(client_id_creds) — CHOICE(OAuth2ClientCreds, Plain)","{""auth_types"":[{""type"":""OAuth2ClientCreds"",""name"":""client_id""},{""type"":""OAuth2ClientCreds"",""name"":""client_secret""},{""type"":""Plain"",""name"":""client_id_creds""}],""config"":""CHOICE(OAuth2ClientCreds, Plain)"",""params"":{""client_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":false},""client_secret"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":false},""client_id_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AlphaSOC Network Behavior Analytics,partner,AlphaSOC,APIKey(APIKey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""APIKey""}],""config"":""REQUIRED(APIKey)"",""params"":{""APIKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AlphaSOC Wisdom,partner,AlphaSOC,APIKey(APIKey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""APIKey""}],""config"":""REQUIRED(APIKey)"",""params"":{""APIKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Amazon DynamoDB,xsoar,Amazon,"APIKey(access_key, secret_key) | Plain(credentials, roleArn) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""access_key""},{""type"":""APIKey"",""name"":""secret_key""},{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""roleArn""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""roleArn"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""access_key"":{""type"":""APIKey"",""xsoar_type"":0,""required"":false},""secret_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AMPv2,xsoar,Cisco Systems,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Analyst1,partner,Analyst1,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Anomali Enterprise,xsoar,Anomali,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Anomali ThreatStream Feed,xsoar,Anomali,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Anomali ThreatStream v3,xsoar,Anomali,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnomaliSecurityAnalyticsAlerts,partner,Anomali,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleACME,xsoar,IBM,"Plain(become_password, become_user, creds) — REQUIRED(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""become_password""},{""type"":""Plain"",""name"":""become_user""},{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""become_user"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""become_password"":{""type"":""Plain"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AnsibleAlibabaCloud,xsoar,Alibaba Group,Plain(creds) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleAzure,xsoar,IBM,Plain(creds) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleCiscoIOS,xsoar,IBM,"Plain(creds, enable_password) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""creds""},{""type"":""Plain"",""name"":""enable_password""}],""config"":""REQUIRED(Plain, Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""enable_password"":{""type"":""Plain"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleCiscoNXOS,xsoar,IBM,Plain(creds) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleDNS,xsoar,IBM,Plain(creds) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleHCloud,xsoar,IBM,Plain(creds) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleKubernetes,xsoar,IBM,"APIKey(api_key) | Plain(creds) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""},{""type"":""Plain"",""name"":""creds""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AnsibleLinux,xsoar,IBM,"Plain(become_password, become_user, creds) — REQUIRED(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""become_password""},{""type"":""Plain"",""name"":""become_user""},{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""become_user"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""become_password"":{""type"":""Plain"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AnsibleMicrosoftWindows,xsoar,IBM,Plain(creds) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleOpenSSL,xsoar,Open Source,"Plain(become_password, become_user, creds) — REQUIRED(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""become_password""},{""type"":""Plain"",""name"":""become_user""},{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""become_user"":{""type"":""Plain"",""xsoar_type"":0,""required"":false},""become_password"":{""type"":""Plain"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AnsibleTower,xsoar,IBM,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AnsibleVMware,xsoar,IBM,Plain(creds) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""creds""}],""config"":""REQUIRED(Plain)"",""params"":{""creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ANY.RUN Cloud Sandbox,partner,AnyRun,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ANY.RUN TI Feed,partner,AnyRun,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ANY.RUN TI Lookup,partner,AnyRun,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ANYRUN,partner,AnyRun,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,APIVoid,xsoar,APIVoid,"APIKey(apikey) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,appNovi,partner,Fenix24,Plain(appnovi_token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""appnovi_token""}],""config"":""REQUIRED(Plain)"",""params"":{""appnovi_token"":{""type"":""Plain"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AppSentinels.ai,xsoar,AppSentinels Ai,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Arcanna.AI,partner,Arcanna.ai INC,"APIKey(apikey) | Plain(credentials) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""},{""type"":""Plain"",""name"":""credentials""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,ArcSight ESM v2,xsoar,OpenText,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,ArcSight Logger,xsoar,OpenText,Plain(credentials) — OPTIONAL(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""OPTIONAL(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,ArcusTeam,partner,ArcusTeam,APIKey(api_key) | Plain(client_id) — REQUIRED(APIKey) + REQUIRED(Plain),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""},{""type"":""Plain"",""name"":""client_id""}],""config"":""REQUIRED(APIKey) + REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true},""client_id"":{""type"":""Plain"",""xsoar_type"":0,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,ArgusManagedDefence,partner,mnemonic,APIKey(api_key) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""}],""config"":""REQUIRED(APIKey)"",""params"":{""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,ARIA Packet Intelligence,partner,AriaNetworks,NoneRequired,"{""auth_types"":[],""config"":""NONE"",""params"":{},""notes"":null}",,,,,,,,,,,,
,Arkime,xsoar,Open Source,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Armis,partner,Insight Partners,APIKey(secret) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""secret""}],""config"":""REQUIRED(APIKey) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""secret"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,ArmisEventCollector,partner,Armis,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Armorblox,partner,Cisco Systems,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Asimily Insight,partner,Asimily,Plain(asimilycred) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""asimilycred""}],""config"":""REQUIRED(Plain)"",""params"":{""asimilycred"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Ataya Harmony,partner,Atayalan Inc,Plain(apiToken) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""apiToken""}],""config"":""REQUIRED(Plain)"",""params"":{""apiToken"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Atlassian Cloud MCP,xsoar,Atlassian,Plain(auth_code) — OPTIONAL(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""auth_code""}],""config"":""CHOICE(OAuth2AuthCode, Plain)"",""params"":{""auth_code"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""OAuth2AuthCode detected in code but no explicit params""}",,,,,,,,,,,,
,Atlassian Confluence Cloud,xsoar,Atlassian,"Plain(client_credentials, username) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""client_credentials""},{""type"":""Plain"",""name"":""username""}],""config"":""CHOICE(OAuth2AuthCode, OAuth2ClientCreds, Plain)"",""params"":{""username"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""client_credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""Has auth_type selector with multiple OAuth options; OAuth2AuthCode detected in code but no explicit params; OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Atlassian Confluence Server,xsoar,Atlassian,"Plain(credentials, personal_access_token) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""credentials""},{""type"":""Plain"",""name"":""personal_access_token""}],""config"":""CHOICE(OAuth2ClientCreds, Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""personal_access_token"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Atlassian IAM,xsoar,Atlassian,"Plain(access_token, access_token_creds) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""access_token""},{""type"":""Plain"",""name"":""access_token_creds""}],""config"":""CHOICE(OAuth2ClientCreds, Plain)"",""params"":{""access_token"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""access_token_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,AtlassianJiraServiceManagement,xsoar,Atlassian,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,AttackIQFireDrill,xsoar,AttackIQ,"Plain(token, token_creds) — OPTIONAL(Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""token""},{""type"":""Plain"",""name"":""token_creds""}],""config"":""OPTIONAL(Plain)"",""params"":{""token"":{""type"":""Plain"",""xsoar_type"":4,""required"":false},""token_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,AttackSurfaceManagement,partner,Google,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Attivo Botsink,partner,SentinelOne,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
