assignee,Integration Name,Support Level,Provider,Auth Class,Auth Detail,auth params set,script inputs,params required for test,generated manifest,wrote code,validations passed,unit tests passed,param parity test passes,requires auth parity test,auth parity test passes,code reviewed,code merged
,Cyjax Feed,partner,Cyjax,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Cylance Protect v2,xsoar,Arctic Wolf,"APIKey(tid) | OAuth2JWT(app_id, app_secret) | Plain(api_key, app_creds) — CHOICE(APIKey, OAuth2JWT, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""tid""},{""type"":""OAuth2JWT"",""name"":""app_id""},{""type"":""OAuth2JWT"",""name"":""app_secret""},{""type"":""Plain"",""name"":""api_key""},{""type"":""Plain"",""name"":""app_creds""}],""config"":""CHOICE(APIKey, OAuth2JWT, Plain)"",""params"":{""app_id"":{""type"":""OAuth2JWT"",""xsoar_type"":0,""required"":false},""app_secret"":{""type"":""OAuth2JWT"",""xsoar_type"":4,""required"":false},""tid"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""app_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""api_key"":{""type"":""Plain"",""xsoar_type"":9,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Cymptom,partner,Tenable,APIKey(api_key) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""api_key""}],""config"":""REQUIRED(APIKey) + OPTIONAL(OAuth2ClientCreds)"",""params"":{""api_key"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":""OAuth2ClientCreds detected in code but no explicit params""}",,,,,,,,,,,,
,Cymulate,partner,Cymulate,Plain(x-token) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""x-token""}],""config"":""REQUIRED(Plain)"",""params"":{""x-token"":{""type"":""Plain"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,cymulate_v3,partner,Cymulate,Plain(credentials) — REQUIRED(Plain),"{""auth_types"":[{""type"":""Plain"",""name"":""credentials""}],""config"":""REQUIRED(Plain)"",""params"":{""credentials"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Cyren Inbox Security,partner,Data443,"OAuth2ClientCreds(client_id, client_secret) — REQUIRED(OAuth2ClientCreds, OAuth2ClientCreds)","{""auth_types"":[{""type"":""OAuth2ClientCreds"",""name"":""client_id""},{""type"":""OAuth2ClientCreds"",""name"":""client_secret""}],""config"":""REQUIRED(OAuth2ClientCreds, OAuth2ClientCreds)"",""params"":{""client_id"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":0,""required"":true},""client_secret"":{""type"":""OAuth2ClientCreds"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Darktrace,partner,Thoma Bravo,"APIKey(private_api_token, public_api_token) | Plain(private_creds, public_creds) — CHOICE(APIKey, Plain)","{""auth_types"":[{""type"":""APIKey"",""name"":""private_api_token""},{""type"":""APIKey"",""name"":""public_api_token""},{""type"":""Plain"",""name"":""private_creds""},{""type"":""Plain"",""name"":""public_creds""}],""config"":""CHOICE(APIKey, Plain)"",""params"":{""public_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""private_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":false},""public_api_token"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false},""private_api_token"":{""type"":""APIKey"",""xsoar_type"":4,""required"":false}},""notes"":null}",,,,,,,,,,,,
,Darktrace ASM,partner,Darktrace,APIKey(apikey) — REQUIRED(APIKey),"{""auth_types"":[{""type"":""APIKey"",""name"":""apikey""}],""config"":""REQUIRED(APIKey)"",""params"":{""apikey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
,Darktrace Event Collector,partner,Thoma Bravo,"Plain(private_creds, public_creds) — REQUIRED(Plain, Plain)","{""auth_types"":[{""type"":""Plain"",""name"":""private_creds""},{""type"":""Plain"",""name"":""public_creds""}],""config"":""REQUIRED(Plain, Plain) + OPTIONAL(APIKey)"",""params"":{""public_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true},""private_creds"":{""type"":""Plain"",""xsoar_type"":9,""required"":true}},""notes"":""APIKey detected in code but no explicit params""}",,,,,,,,,,,,
,DarktraceAdmin,partner,Thoma Bravo,"APIKey(privateApiKey, publicApiKey) — REQUIRED(APIKey, APIKey)","{""auth_types"":[{""type"":""APIKey"",""name"":""privateApiKey""},{""type"":""APIKey"",""name"":""publicApiKey""}],""config"":""REQUIRED(APIKey, APIKey)"",""params"":{""publicApiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true},""privateApiKey"":{""type"":""APIKey"",""xsoar_type"":4,""required"":true}},""notes"":null}",,,,,,,,,,,,
