domain, category, score, first_seen, last_seen, ports (|)
2dl.pw,27,58,2019-04-13,2019-11-14,80
nlog.ml,27,31,2019-10-18,2019-10-18,80
4h21n.cn,4,122,2020-01-19,2020-01-21,80
cdnjs.su,27,56,2019-11-12,2019-11-12,80
katef.ga,27,50,2019-11-06,2019-11-06,80
rreyw.gq,27,92,2019-12-17,2019-12-18,80
sabq.org,1,122,2018-03-11,2020-01-22,80
1ns4n3.de,1,127,2018-03-11,2018-06-18,
7slwb.icu,27,119,2020-01-14,2020-01-14,80
